gid,goods_name,weight,tag
31369,(A)*純喫茶紅茶650ml(盒),704,冷藏
36225,*瑞穗蘋果牛奶290ml,326,冷藏
119601,統一麵肉燥風味(碗),105,常溫
119753,(A)滿漢大餐蔥燒牛肉麵,239,常溫
130556,統一布丁--雞蛋口味,107,冷藏
131337,*藍山咖啡CAN240,293,冷藏
158660,*統一麥香奶茶TP375,411,冷藏
173920,統一脆麵,60,常溫
181992,阿Ｑ桶麵生猛海鮮風味,130,常溫
185967,樂天小熊餅(巧克力),54,常溫
286813,(A)*可口可樂PET600,653,冷藏
292595,茗閒情凍頂烏龍茶,105,常溫
307561,(A)科學麵原味,40,常溫
320220,品客洋芋片-洋蔥(小),84,常溫
346960,來一客杯麵韓式泡菜風味,86,常溫
353494,美麗日記黑珍珠煥白8入,264,常溫
354850,美麗日記官燕窩全效滋養8入,263,常溫
358392,靠得住草本抑菌夜用28cm12片,124,常溫
361375,iselect麥茶PET550ml,586,冷藏
361494,蘇菲超熟睡超薄棉柔28cm15片裝,149,常溫
367886,SUNKIST香吉士芭樂果汁PET550,607,冷藏
376789,台酒花雕酸菜牛肉麵,240,常溫
379078,(E)卡迪那95°C北海道鹽味薯條,56,常溫
381603,卡迪那德州薯條茄汁口味,69,常溫
385999,(A)維力炸醬麵重量碗,172,常溫
393768,及第豬肉熟水餃,260,冷藏
404403,永心鳳茶剝皮辣椒雞盅,362,冷藏
409314,日清合味道海鮮味杯麵,95,常溫
411715,(A)樂事九州岩燒海苔洋芋片35元,66,常溫
436090,(A)*茶堣日式綠茶PET600,628,冷藏
440039,可爾必思水語乳酸菌飲料PET500,553,冷藏
470232,*飲冰室茶集綠奶茶400ml(盒),436,冷藏
474466,(A)*(E)蜜蜂故事館蜂蜜檸檬水,350,冷藏
500926,卡辣姆久平切洋芋片卡辣海苔35元,67,常溫
501070,波的多洋芋片喜馬拉雅玫瑰鹽35元,69,常溫
542423,植物的優鮮美橘瓣優格,275,冷藏
564203,樂事波樂自由古巴洋蔥雞翅洋芋片,79,常溫
586228,奇多兩倍濃起司口味玉米棒,91,常溫
598725,優鮮沛蔓越莓綜合果汁PET500,549,冷藏
614126,台灣農林 亮澄菊香烏龍650ml,691,冷藏
641016,義美小泡芙草莓39G,44,常溫
728508,*統一陽光低糖高纖豆漿450ml(盒),484,冷藏
739678,阜杭豆漿-經典飯糰,205,冷藏
803232,阿華田營養巧克力麥芽飲品,134,冷藏
839091,(A)*PH9.0鹼性離子水PET800,846,冷藏
855377,每朝健康無糖紅茶PET650,686,冷藏
904986,福樂頂級無加糖希臘式優酪(方盒),148,冷藏
921042,韓國農心辛香菇杯麵,95,常溫
930471,濃韻烏龍茶PET600.,625,冷藏
945123,日式素豆干立,182,常溫
